model,year,target,forecast,lower,upper
Actual,2014,death_rate_per_100k,26.44,,
Actual,2015,death_rate_per_100k,27.04,,
Actual,2016,death_rate_per_100k,28.3,,
Actual,2017,death_rate_per_100k,23.3,,
Actual,2018,death_rate_per_100k,19.16,,
Actual,2019,death_rate_per_100k,19.14,,
Actual,2020,death_rate_per_100k,14.64,,
Actual,2021,death_rate_per_100k,15.11,,
Actual,2022,death_rate_per_100k,14.16,,
Actual,2023,death_rate_per_100k,13.06,,
NaiveDrift,2024,death_rate_per_100k,11.573333333333334,6.833769231013375,16.312897435653294
NaiveDrift,2025,death_rate_per_100k,10.086666666666666,3.383910833429116,16.789422499904216
NaiveDrift,2026,death_rate_per_100k,8.6,0.39083416905225477,16.809165830947745
NaiveDrift,2027,death_rate_per_100k,7.113333333333333,-2.3657948713065853,16.59246153797325
NaiveDrift,2028,death_rate_per_100k,5.626666666666667,-4.971320849838531,16.224654183171864
NaiveDrift,2029,death_rate_per_100k,4.139999999999999,-7.469513653896099,15.749513653896097
NaiveDrift,2030,death_rate_per_100k,2.6533333333333324,-9.88637460425437,15.193041270921034
OLS+Intervention,2024,death_rate_per_100k,10.30749999999989,4.057826759339762,16.55717324066002
OLS+Intervention,2025,death_rate_per_100k,8.733499999999822,2.483826759339693,14.983173240659951
OLS+Intervention,2026,death_rate_per_100k,7.159499999999753,0.9098267593396239,13.409173240659882
OLS+Intervention,2027,death_rate_per_100k,5.5854999999996835,-0.6641732406604453,11.835173240659813
OLS+Intervention,2028,death_rate_per_100k,4.011499999999614,-2.2381732406605144,10.261173240659744
OLS+Intervention,2029,death_rate_per_100k,2.4374999999995453,-3.8121732406605835,8.687173240659675
OLS+Intervention,2030,death_rate_per_100k,0.8634999999999309,-5.386173240660198,7.11317324066006
SARIMAX,2024,death_rate_per_100k,12.827487885051248,9.13003516502633,16.524940605076168
SARIMAX,2025,death_rate_per_100k,12.827487885051248,4.897335167813629,20.757640602288866
SARIMAX,2026,death_rate_per_100k,12.827487885051248,2.239594439204584,23.41538133089791
SARIMAX,2027,death_rate_per_100k,12.827487885051248,0.12632049293747194,25.528655277165022
SARIMAX,2028,death_rate_per_100k,12.827487885051248,-1.682364582302986,27.337340352405484
SARIMAX,2029,death_rate_per_100k,12.827487885051248,-3.289335130862195,28.94431090096469
SARIMAX,2030,death_rate_per_100k,12.827487885051248,-4.750001970675278,30.404977740777774
Prophet,2024,death_rate_per_100k,12.132278435796989,9.156239506347605,14.846519367741712
Prophet,2025,death_rate_per_100k,11.286103904697505,7.984773601977363,14.333942941038428
Prophet,2026,death_rate_per_100k,10.442241325868785,6.8324899832390935,14.446512011856464
Prophet,2027,death_rate_per_100k,9.598378747040067,4.9631203341356205,14.011821181927818
Prophet,2028,death_rate_per_100k,8.754516168211346,2.898775508866927,16.563822169467382
Prophet,2029,death_rate_per_100k,7.908341637111864,-0.9635214185094607,18.55807358063147
Prophet,2030,death_rate_per_100k,7.064479058283146,-3.4248367089070793,19.38583733077586
Ensemble,2024,death_rate_per_100k,12.045200142776691,9.82817690755273,14.262223378000652
Ensemble,2025,death_rate_per_100k,11.310583336972153,7.366556281616718,15.254610392327589
Ensemble,2026,death_rate_per_100k,10.576396321473972,5.450037051983515,15.70275559096443
Ensemble,2027,death_rate_per_100k,9.84220930597579,3.7547042684820537,15.929714343469524
Ensemble,2028,death_rate_per_100k,9.108022290477606,2.1412981983429376,16.074746382612275
Ensemble,2029,death_rate_per_100k,8.373405484673068,0.576863985109239,16.169946984236898
Ensemble,2030,death_rate_per_100k,7.639218469174952,-0.8790333580307488,16.15747029638065
