region,region_ar,year,actual_risk,predicted_risk_oof,predicted_risk_full,shap_base_value,top1_feature,top1_shap,top2_feature,top2_shap,top3_feature,top3_shap
Al-Baha,الباحة,2020,5.230413477949678,5.42820976249714,5.3512629203230695,4.1750538463330695,injuries_per_1k_vehicles,0.6252,vehicles_new,0.5777,severe_per_1k_vehicles,-0.301
Al-Baha,الباحة,2021,7.635488422275707,5.9602969414252325,6.766353900716024,4.1750538463330695,injuries_per_1k_vehicles,0.7875,vehicles_new,0.6268,severe_per_1k_vehicles,0.4305
Al-Baha,الباحة,2022,8.13210521948386,5.9386734290171415,6.719021424484333,4.1750538463330695,injuries_per_1k_vehicles,0.8442,vehicles_new,0.6061,severe_per_1k_vehicles,0.4904
Al-Baha,الباحة,2023,5.10826471485209,5.8208435922137856,5.424488431862217,4.1750538463330695,injuries_per_1k_vehicles,0.626,vehicles_new,0.4482,severe_per_1k_vehicles,0.1716
Al-Baha,الباحة,2024,4.311563471868816,5.316110473923102,4.518490844302947,4.1750538463330695,injuries_per_1k_vehicles,0.6488,road_density_per_capita,-0.4831,vehicles_new,0.4048
Al-Jouf,الجوف,2020,4.0667218086572925,4.7591661355271615,4.190661833406754,4.1750538463330695,severe_per_1k_vehicles,-0.4929,vehicles_new,0.4843,injuries_per_1k_vehicles,-0.4283
Al-Jouf,الجوف,2021,4.02622799953986,5.213415105624338,5.072857126049238,4.1750538463330695,vehicles_new,0.5139,severe_per_1k_vehicles,0.2162,injuries_per_1k_vehicles,0.1088
Al-Jouf,الجوف,2022,2.977811671569161,3.712024964178781,3.0286330980725915,4.1750538463330695,injuries_per_1k_vehicles,-1.4814,vehicles_new,0.3671,severe_per_1k_vehicles,-0.1399
Al-Jouf,الجوف,2023,2.2170406330033257,2.8014792631330576,2.3627913537770833,4.1750538463330695,injuries_per_1k_vehicles,-1.5123,severe_per_1k_vehicles,-0.5775,vehicles_new,0.3381
Al-Jouf,الجوف,2024,2.064786920759571,2.8873069091156145,2.5053772815302007,4.1750538463330695,injuries_per_1k_vehicles,-1.2739,severe_per_1k_vehicles,-0.5578,vehicles_new,0.358
Aseer,عسير,2020,5.86793723943332,2.348784441232468,5.307453412834175,4.1750538463330695,vehicles_new,0.6596,injuries_per_1k_vehicles,0.4134,severe_per_1k_vehicles,-0.3388
Aseer,عسير,2021,6.602448818703654,4.014420004064788,6.0156359110116275,4.1750538463330695,injuries_per_1k_vehicles,0.5155,severe_per_1k_vehicles,0.4587,vehicles_new,0.4299
Aseer,عسير,2022,5.694305694305695,3.058436615574454,5.744458710190894,4.1750538463330695,vehicles_new,0.5872,severe_per_1k_vehicles,0.3389,injuries_per_1k_vehicles,0.272
Aseer,عسير,2023,5.012154184512096,2.3837045037569107,4.786407364083034,4.1750538463330695,vehicles_new,0.5626,injuries_per_1k_vehicles,-0.2089,vehicles_total,0.1469
Aseer,عسير,2024,4.706508282431423,2.1722053470576537,4.618501530658434,4.1750538463330695,vehicles_new,0.3806,road_density_per_capita,-0.3332,severe_per_1k_vehicles,0.2681
Eastern,المنطقة الشرقية,2020,1.106533851867391,1.966886787102983,1.3821603895122359,4.1750538463330695,vehicles_new,-1.0182,injuries_per_1k_vehicles,-0.8872,severe_per_1k_vehicles,-0.3738
Eastern,المنطقة الشرقية,2021,1.324260775873508,2.065631776817967,1.483281508652638,4.1750538463330695,vehicles_new,-0.981,injuries_per_1k_vehicles,-0.8855,severe_per_1k_vehicles,-0.4328
Eastern,المنطقة الشرقية,2022,1.274924395477532,2.1221079348848004,1.4125422523632745,4.1750538463330695,vehicles_new,-0.9874,injuries_per_1k_vehicles,-0.8507,severe_per_1k_vehicles,-0.4208
Eastern,المنطقة الشرقية,2023,1.2627379890419217,2.0408565957265674,1.433521508293772,4.1750538463330695,vehicles_new,-0.9742,injuries_per_1k_vehicles,-0.8598,severe_per_1k_vehicles,-0.4277
Eastern,المنطقة الشرقية,2024,1.048743305275221,1.9090416254649458,1.400247605479304,4.1750538463330695,vehicles_new,-0.8504,injuries_per_1k_vehicles,-0.7999,severe_per_1k_vehicles,-0.3451
Hail,حائل,2020,5.028669548952871,4.246362362202426,5.033964186205906,4.1750538463330695,vehicles_new,0.6312,severe_per_1k_vehicles,-0.4503,injuries_per_1k_vehicles,0.2642
Hail,حائل,2021,5.438555889840314,4.968911453857622,5.472465216981664,4.1750538463330695,vehicles_new,0.6763,severe_per_1k_vehicles,0.2468,injuries_per_1k_vehicles,0.1458
Hail,حائل,2022,4.569339730408956,4.092983543772672,4.673611824522528,4.1750538463330695,injuries_per_1k_vehicles,-0.8104,vehicles_new,0.5175,severe_per_1k_vehicles,0.3194
Hail,حائل,2023,3.080082135523614,2.471555727125001,3.0376244055903334,4.1750538463330695,injuries_per_1k_vehicles,-1.5086,severe_per_1k_vehicles,-0.5212,vehicles_new,0.5088
Hail,حائل,2024,3.213727629212489,2.5057524836623246,3.210742285761611,4.1750538463330695,injuries_per_1k_vehicles,-1.1232,severe_per_1k_vehicles,-0.3887,vehicles_new,0.3809
Jazan,جازان,2020,6.872491120405203,4.896802293304826,6.207915035612013,4.1750538463330695,injuries_per_1k_vehicles,0.9201,vehicles_new,0.6514,severe_per_1k_vehicles,-0.3111
Jazan,جازان,2021,9.645122398700003,5.186698915465996,7.160355293896661,4.1750538463330695,injuries_per_1k_vehicles,0.9197,vehicles_new,0.6004,severe_per_1k_vehicles,0.4129
Jazan,جازان,2022,9.36005171299289,5.0283273769179395,7.0756722369000755,4.1750538463330695,injuries_per_1k_vehicles,0.7267,vehicles_new,0.6842,severe_per_1k_vehicles,0.3604
Jazan,جازان,2023,7.050038075118524,5.074255877737876,6.940713159611384,4.1750538463330695,injuries_per_1k_vehicles,0.7045,vehicles_new,0.6735,vehicles_renewal,0.3635
Jazan,جازان,2024,5.260237943575729,4.436972139742711,5.287087762473671,4.1750538463330695,vehicles_new,0.5355,injuries_per_1k_vehicles,0.4833,severe_per_1k_vehicles,0.2393
Madinah,المدينة المنورة,2020,4.856512141280353,6.309568371045205,5.1822988718812395,4.1750538463330695,injuries_per_1k_vehicles,0.7568,vehicles_new,0.5393,severe_per_1k_vehicles,-0.352
Madinah,المدينة المنورة,2021,5.547627183373199,6.959568896670185,5.668489482274285,4.1750538463330695,injuries_per_1k_vehicles,0.5789,vehicles_new,0.5555,severe_per_1k_vehicles,0.1913
Madinah,المدينة المنورة,2022,5.527267220655322,6.942736643548131,5.541556959254087,4.1750538463330695,vehicles_new,0.5606,injuries_per_1k_vehicles,0.5515,severe_per_1k_vehicles,0.1875
Madinah,المدينة المنورة,2023,5.46380450542844,6.6769824960102095,5.454486181963001,4.1750538463330695,vehicles_new,0.5719,injuries_per_1k_vehicles,0.5448,licenses_renewal,-0.1785
Madinah,المدينة المنورة,2024,3.7938120625978993,5.025499520263316,3.9391498634210875,4.1750538463330695,road_density_per_capita,-0.6296,injuries_per_1k_vehicles,0.4358,vehicles_new,0.2949
Makkah,مكة المكرمة,2020,2.01565570147145,3.8024070605491667,2.052775612699765,4.1750538463330695,vehicles_new,-1.4312,vehicles_total,-0.4131,severe_per_1k_vehicles,-0.3334
Makkah,مكة المكرمة,2021,2.599381649740887,4.025220681558117,2.8977877584854683,4.1750538463330695,vehicles_new,-1.5064,injuries_per_1k_vehicles,0.4282,vehicles_total,-0.3991
Makkah,مكة المكرمة,2022,2.8398685561293187,4.0192596673708945,2.8520876550513075,4.1750538463330695,vehicles_new,-1.5033,injuries_per_1k_vehicles,0.4255,vehicles_total,-0.4179
Makkah,مكة المكرمة,2023,2.8351797533369107,4.048531292024508,2.8322854659772077,4.1750538463330695,vehicles_new,-1.49,vehicles_total,-0.3967,injuries_per_1k_vehicles,0.3797
Makkah,مكة المكرمة,2024,2.186776434268073,3.6914659056925685,2.375012450162375,4.1750538463330695,vehicles_new,-1.4019,vehicles_total,-0.4131,severe_per_1k_vehicles,0.2852
Najran,نجران,2020,4.299128860730852,5.097969319560145,4.903283454999164,4.1750538463330695,vehicles_new,0.4979,injuries_per_1k_vehicles,0.4609,severe_per_1k_vehicles,-0.3938
Najran,نجران,2021,6.196710618273308,5.235555720635098,5.995432634887375,4.1750538463330695,vehicles_new,0.7012,injuries_per_1k_vehicles,0.5576,severe_per_1k_vehicles,0.2675
Najran,نجران,2022,4.846526655896607,3.9470167160841,4.685971443106659,4.1750538463330695,vehicles_new,0.6655,injuries_per_1k_vehicles,-0.6214,severe_per_1k_vehicles,0.2712
Najran,نجران,2023,2.415736799723916,2.7139955755379335,2.3796842811703427,4.1750538463330695,injuries_per_1k_vehicles,-1.5291,severe_per_1k_vehicles,-0.5642,vehicles_new,0.3381
Najran,نجران,2024,3.100103336777893,2.8787668606936654,3.094503724034468,4.1750538463330695,injuries_per_1k_vehicles,-0.6962,road_density_per_capita,-0.4279,vehicles_new,0.3353
Northern Borders,الحدود الشمالية,2020,5.809262546393416,5.163814051012771,5.53523508662279,4.1750538463330695,injuries_per_1k_vehicles,0.6471,vehicles_new,0.6018,severe_per_1k_vehicles,-0.2585
Northern Borders,الحدود الشمالية,2021,5.84246218049035,5.949692622444682,5.833382059169845,4.1750538463330695,vehicles_new,0.5718,injuries_per_1k_vehicles,0.5636,severe_per_1k_vehicles,0.3059
Northern Borders,الحدود الشمالية,2022,5.558987029030265,5.853367900917671,5.830603666256685,4.1750538463330695,vehicles_new,0.6258,injuries_per_1k_vehicles,0.4964,severe_per_1k_vehicles,0.4592
Northern Borders,الحدود الشمالية,2023,4.712187009147187,6.030141944111924,5.170026508825574,4.1750538463330695,injuries_per_1k_vehicles,0.4918,vehicles_new,0.4521,vehicles_renewal,-0.178
Northern Borders,الحدود الشمالية,2024,3.6719706242350063,5.1059578649213,3.67690407024442,4.1750538463330695,road_density_per_capita,-0.4566,vehicles_new,0.3671,year,-0.2132
Qassim,القصيم,2020,2.058919740614597,3.1704158583305553,2.1359242585665483,4.1750538463330695,vehicles_new,-1.2021,severe_per_1k_vehicles,-0.3446,vehicles_total,-0.3001
Qassim,القصيم,2021,3.131179960448253,3.539685060589059,3.1123788973556765,4.1750538463330695,vehicles_new,-1.404,severe_per_1k_vehicles,0.3264,vehicles_total,0.1284
Qassim,القصيم,2022,2.452966313335923,3.463773495775816,3.0316268703666505,4.1750538463330695,vehicles_new,-1.3911,severe_per_1k_vehicles,0.2389,vehicles_total,0.1378
Qassim,القصيم,2023,2.312606296926204,3.424250343714812,2.396976231218462,4.1750538463330695,vehicles_new,-1.2454,injuries_per_1k_vehicles,-0.5328,vehicles_total,0.1176
Qassim,القصيم,2024,1.8462176087714173,2.4373153732463777,1.8306646134745417,4.1750538463330695,vehicles_new,-0.921,injuries_per_1k_vehicles,-0.5573,vehicles_total,-0.2893
Riyadh,الرياض,2020,1.4014092028276426,1.2631324840392346,1.4329930327023686,4.1750538463330695,vehicles_new,-1.0255,injuries_per_1k_vehicles,-0.8326,severe_per_1k_vehicles,-0.3699
Riyadh,الرياض,2021,1.818565178430236,1.3855183307865853,1.709251871073012,4.1750538463330695,vehicles_new,-1.1248,injuries_per_1k_vehicles,-0.608,vehicles_total,-0.3439
Riyadh,الرياض,2022,1.5151969519287982,1.3685609758396655,1.5097658697223415,4.1750538463330695,vehicles_new,-0.9687,injuries_per_1k_vehicles,-0.8395,severe_per_1k_vehicles,-0.3687
Riyadh,الرياض,2023,1.4066642927980553,1.432429320382675,1.4507286957936412,4.1750538463330695,vehicles_new,-0.9693,injuries_per_1k_vehicles,-0.8429,severe_per_1k_vehicles,-0.3986
Riyadh,الرياض,2024,1.1495320451658742,1.4407806879464058,1.449720354894062,4.1750538463330695,vehicles_new,-0.9073,injuries_per_1k_vehicles,-0.7869,vehicles_total,-0.3243
Tabuk,تبوك,2020,5.717048751351044,5.171018859355153,5.725974895516039,4.1750538463330695,injuries_per_1k_vehicles,0.6712,vehicles_new,0.6592,severe_per_1k_vehicles,-0.4002
Tabuk,تبوك,2021,7.1222534810013896,5.3124902033370995,6.608928433937247,4.1750538463330695,vehicles_new,0.7367,injuries_per_1k_vehicles,0.6561,severe_per_1k_vehicles,0.3861
Tabuk,تبوك,2022,6.887691374326399,5.277361492075526,6.620278795702008,4.1750538463330695,vehicles_new,0.7352,injuries_per_1k_vehicles,0.5043,severe_per_1k_vehicles,0.4905
Tabuk,تبوك,2023,6.897700766411196,4.703721111865334,6.293514564209703,4.1750538463330695,vehicles_new,0.7301,severe_per_1k_vehicles,0.3715,vehicles_renewal,0.3065
Tabuk,تبوك,2024,6.976328185558404,4.4875545447999965,5.708246213179394,4.1750538463330695,vehicles_new,0.6453,injuries_per_1k_vehicles,0.549,severe_per_1k_vehicles,0.4544
